Blood_Type,Give_Birth,Can_Fly,Live_in_Water,Class
warm,yes,no,no,mammals
cold,no,no,no,non-mammals
cold,no,no,yes,non-mammals
warm,yes,no,yes,mammals
cold,no,no,sometimes,non-mammals
cold,no,no,no,non-mammals
warm,yes,yes,no,mammals
warm,no,yes,no,non-mammals
warm,yes,no,no,mammals
cold,yes,no,yes,non-mammals
cold,no,no,sometimes,non-mammals
warm,no,no,sometimes,non-mammals
warm,yes,no,no,mammals
cold,no,no,yes,non-mammals
cold,no,no,sometimes,non-mammals
cold,no,no,no,non-mammals
warm,no,no,no,mammals
warm,no,yes,no,non-mammals
warm,yes,no,yes,mammals
warm,no,yes,no,non-mammals
